Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME
C57,1,cotton swab,50.6,3.95,0,Baseline
C57,2,cotton swab,165.3,4.96,0,Baseline
C57,3,cotton swab,380.55,9.55,0,Baseline
C57,4,cotton swab,580,7.38,0,Baseline
C57,5,cotton swab,258.67,5.43,0,Baseline
C57,6,cotton swab,931.32,6.53,1,Baseline
C57,7,cotton swab,442.89,5.76,0,Baseline
C57,8,cotton swab,30.56,5.5,0,Baseline
C57,9,cotton swab,959.5,6.59,0,Baseline
C57,10,cotton swab,134.8,5.35,0,Baseline
C57,1,Dynamic Brush,1092.51,7.17,0,Baseline
C57,2,Dynamic Brush,886.99,10.04,1,Baseline
C57,3,Dynamic Brush,941.47,10.01,0.5,Baseline
C57,4,Dynamic Brush,593.57,7.59,0,Baseline
C57,5,Dynamic Brush,852.58,8.82,0,Baseline
C57,6,Dynamic Brush,588.51,11.41,1,Baseline
C57,7,Dynamic Brush,1084.28,11.71,0,Baseline
C57,8,Dynamic Brush,291.49,3.78,0,Baseline
C57,9,Dynamic Brush,850.59,8.1,0,Baseline
C57,10,Dynamic Brush,3513.53,22.76,0,Baseline
C57,1,Light Pinprick,408.52,7.54,0.5,Baseline
C57,2,Light Pinprick,683.34,10.22,1,Baseline
C57,3,Light Pinprick,1723.51,19.48,2,Baseline
C57,4,Light Pinprick,1633.04,13.66,2,Baseline
C57,5,Light Pinprick,1464.9,9.43,1,Baseline
C57,6,Light Pinprick,897.32,6.6,3,Baseline
C57,7,Light Pinprick,1081.9,8.68,0,Baseline
C57,8,Light Pinprick,1550.22,8.52,0,Baseline
C57,9,Light Pinprick,1627.7,8.45,1,Baseline
C57,10,Light Pinprick,2239.27,6.4,2,Baseline
C57,1,Heavy Pinprick,1515.79,21.34,2,Baseline
C57,2,Heavy Pinprick,1687.84,21.75,1.33,Baseline
C57,3,Heavy Pinprick,1775.87,28.79,1.5,Baseline
C57,4,Heavy Pinprick,1340.16,18.45,2.33,Baseline
C57,5,Heavy Pinprick,2242.98,28.85,2.67,Baseline
C57,6,Heavy Pinprick,1588.85,20.65,2,Baseline
C57,7,Heavy Pinprick,1693.6,22.15,2.67,Baseline
C57,8,Heavy Pinprick,2358.2,23.19,2.33,Baseline
C57,9,Heavy Pinprick,1384.8,13.44,1.67,Baseline
C57,10,Heavy Pinprick,2472.2,28.94,2.67,Baseline
